DayNumber,Date,Time,COT
324,2015-11-20,15:20,3.1978
325,2015-11-21,14:25,3.3422
326,2015-11-22,15:05,-99.0
327,2015-11-23,14:10,2.2943
328,2015-11-24,14:55,-99.0
329,2015-11-25,14:00,5.3767
330,2015-11-26,14:40,14.7389
331,2015-11-27,15:25,2.028
332,2015-11-28,14:30,2.44
333,2015-11-29,15:15,3.0025
334,2015-11-30,14:15,4.8314
335,2015-12-1,15:00,-99.0
336,2015-12-2,14:05,3.7044
337,2015-12-3,14:50,62.2912
338,2015-12-4,,2.26
339,2015-12-5,14:35,89.8
340,2015-12-6,15:20,5.685
341,2015-12-7,14:25,3.5633
342,2015-12-8,15:05,-99.0
343,2015-12-9,14:10,6.1767
344,2015-12-10,14:55,-99.0
345,2015-12-11,14:00,28.8478
346,2015-12-12,14:40,131.5
347,2015-12-13,15:25,38.1311
348,2015-12-14,14:30,6.2311
349,2015-12-15,15:10,13.5867
350,2015-12-16,14:15,15.9389
351,2015-12-17,15:00,-99.0
352,2015-12-18,14:05,9.0867
353,2015-12-19,14:50,16.2787
354,2015-12-20,13:50,1.3933
355,2015-12-21,14:35,1.9275
356,2015-12-22,15:20,3.785
357,2015-12-23,14:25,7.49
358,2015-12-24,15:05,-99.0
359,2015-12-25,14:10,21.8156
360,2015-12-26,14:55,-99.0
361,2015-12-27,14:00,5.4078
362,2015-12-28,14:40,6.3825
363,2015-12-29,15:25,8.3778
364,2015-12-30,14:30,2.29
365,2015-12-31,15:10,11.5175
